Temps (s) 	 Thermocouple (°C) 	 Lumière 	 Pression (Pa)
286.23	6.84	1005.00	95089.29
287.28	6.84	1005.00	95089.29
288.33	6.84	1004.00	95089.29
289.38	6.84	1004.00	94866.07
290.43	6.84	1004.00	95089.29
291.48	6.84	1005.00	95089.29
292.53	6.84	1004.00	94866.07
293.58	6.35	1004.00	94866.07
294.63	6.35	1006.00	95089.29
295.68	6.84	1006.00	94866.07
296.73	6.84	1006.00	94866.07
297.79	6.84	1006.00	94866.07
298.84	6.84	1007.00	94866.07
299.89	6.84	1005.00	94866.07
300.94	6.84	1003.00	94866.07
301.99	6.84	1005.00	94866.07
303.04	6.84	1004.00	95089.29
304.09	6.84	1004.00	95089.29
305.14	6.35	1004.00	94866.07
306.19	6.35	1004.00	94866.07
307.25	6.35	1005.00	94866.07
308.30	6.84	1006.00	94866.07
309.35	6.84	1004.00	95089.29
310.40	6.84	1000.00	94866.07
311.45	6.84	1005.00	95089.29
312.50	6.84	1004.00	94866.07
313.55	6.84	1006.00	94866.07
314.60	6.84	1006.00	94866.07
315.65	6.84	1006.00	94866.07
316.70	6.84	1006.00	94866.07
317.76	6.84	1006.00	94866.07
318.83	6.84	1006.00	94866.07
319.88	6.84	1006.00	94866.07
320.93	6.84	1006.00	94866.07
321.98	6.84	1006.00	94866.07
323.03	6.84	1006.00	94866.07
324.08	6.84	1006.00	94642.86
325.14	6.84	1006.00	94866.07
326.19	6.84	1006.00	94866.07
327.24	7.33	1006.00	94866.07
328.29	7.33	1006.00	94866.07
329.34	7.33	1006.00	94866.07
330.39	6.84	1004.00	94866.07
331.44	7.33	1006.00	94866.07
332.49	7.33	1006.00	94866.07
333.54	6.84	1007.00	94866.07
334.60	6.84	1006.00	94642.86
335.64	7.33	1007.00	94866.07
336.70	6.84	1007.00	94642.86
337.75	6.84	1007.00	94642.86
338.80	6.84	1007.00	94642.86
339.85	6.84	1007.00	94642.86
340.90	6.84	1004.00	94642.86
341.95	6.84	1007.00	94866.07
343.00	6.84	1007.00	94866.07
344.05	6.84	1007.00	94866.07
345.10	6.35	1006.00	94642.86
346.15	6.35	1007.00	94642.86
347.20	6.35	1007.00	94866.07
348.25	6.35	1007.00	94642.86
349.30	6.35	1007.00	94642.86
350.35	6.35	1007.00	94642.86
351.41	6.35	1007.00	94642.86
352.46	6.35	1007.00	94642.86
353.51	6.35	1007.00	94866.07
354.56	6.35	1007.00	94642.86
355.61	6.35	1006.00	94866.07
356.66	5.87	1007.00	94642.86
357.71	6.35	1007.00	94642.86
358.76	5.87	1007.00	94642.86
359.81	5.87	1007.00	94642.86
360.86	5.87	1007.00	94642.86
361.91	5.87	1007.00	94642.86
362.96	5.87	1007.00	94642.86
364.02	5.87	1007.00	94642.86
365.07	5.87	1007.00	94642.86
366.11	5.87	1008.00	94642.86
367.17	5.87	1008.00	94642.86
368.22	5.87	1007.00	94642.86
369.27	5.87	1008.00	94642.86
370.32	5.87	1008.00	94642.86
371.37	5.87	1009.00	94642.86
372.42	5.87	1008.00	94642.86
373.47	6.35	1008.00	94642.86
